$GPFPD,1593,202779.00,317.200,-0.580,1.460,38.2234892,119.1219851,30.318,-0.006,-0.082,-0.024,1.987,8,8,1*7D
$GPFPD,1593,202780.00,317.220,-0.590,1.460,38.2234892,119.1219850,30.325,-0.008,-0.093,-0.016,1.992,8,8,1*7C
$GPFPD,1593,202781.00,317.230,-0.610,1.480,38.2234890,119.1219849,30.340,-0.011,-0.084,-0.007,1.990,8,8,1*7C
$GPFPD,1593,202782.00,317.220,-0.590,1.490,38.2234888,119.1219848,30.356,-0.003,-0.095,-0.015,1.987,8,8,1*7D
$GPFPD,1593,202783.00,317.230,-0.590,1.490,38.2234886,119.1219848,30.362,0.000,-0.089,-0.026,1.989,8,8,1*59
$GPFPD,1593,202784.00,317.250,-0.570,1.470,38.2234885,119.1219847,30.359,-0.002,-0.083,-0.033,1.989,8,8,1*7D
$GPFPD,1593,202785.00,317.270,-0.570,1.470,38.2234884,119.1219847,30.361,-0.008,-0.080,-0.023,1.991,8,8,1*75
$GPFPD,1593,202786.00,317.280,-0.590,1.490,38.2234883,119.1219846,30.374,-0.008,-0.086,-0.006,1.990,8,8,1*7B
$GPFPD,1593,202787.00,317.290,-0.600,1.500,38.2234881,119.1219845,30.392,-0.010,-0.099,-0.009,1.993,8,8,1*7B
$GPFPD,1593,202788.00,317.300,-0.590,1.500,38.2234879,119.1219843,30.404,-0.006,-0.104,-0.023,1.988,8,8,1*7F
$GPFPD,1593,202789.00,317.310,-0.590,1.480,38.2234876,119.1219842,30.406,-0.015,-0.097,-0.028,1.989,8,8,1*79
$GPFPD,1593,202790.00,317.320,-0.590,1.470,38.2234874,119.1219841,30.405,-0.002,-0.092,-0.028,1.990,8,8,1*74
$GPFPD,1593,202791.00,317.330,-0.580,1.470,38.2234873,119.1219840,30.409,-0.002,-0.089,-0.028,1.989,8,8,1*7D
$GPFPD,1593,202792.00,317.330,-0.580,1.480,38.2234871,119.1219839,30.415,-0.002,-0.096,-0.027,1.992,8,8,1*7B
$GPFPD,1593,202793.00,317.340,-0.590,1.490,38.2234869,119.1219838,30.419,-0.002,-0.096,-0.024,1.990,8,8,1*78
$GPFPD,1593,202794.00,317.360,-0.580,1.490,38.2234867,119.1219836,30.424,-0.011,-0.089,-0.026,1.987,8,8,1*7A
$GPFPD,1593,202795.00,317.380,-0.590,1.480,38.2234866,119.1219835,30.432,-0.010,-0.091,-0.023,1.991,8,8,1*7A
$GPFPD,1593,202796.00,317.390,-0.590,1.470,38.2234864,119.1219833,30.444,-0.015,-0.087,-0.012,1.987,8,8,1*75
$GPFPD,1593,202797.00,317.410,-0.600,1.480,38.2234863,119.1219832,30.464,-0.009,-0.085,-0.007,1.992,8,8,1*75
$GPFPD,1593,202798.00,317.420,-0.600,1.500,38.2234861,119.1219831,30.481,-0.009,-0.096,-0.019,1.988,8,8,1*7C
$GPFPD,1593,202799.00,317.420,-0.590,1.490,38.2234858,119.1219829,30.483,-0.004,-0.097,-0.032,1.986,8,8,1*75
$GPFPD,1593,202800.00,317.430,-0.580,1.490,38.2234856,119.1219828,30.477,-0.018,-0.089,-0.035,1.989,8,8,1*74
$GPFPD,1593,202801.00,317.440,-0.570,1.490,38.2234854,119.1219826,30.476,-0.012,-0.086,-0.031,1.990,8,8,1*79
$GPFPD,1593,202802.00,317.460,-0.580,1.480,38.2234852,119.1219822,30.480,-0.028,-0.092,-0.025,1.993,8,8,1*77
$GPFPD,1593,202803.00,317.480,-0.610,1.460,38.2234850,119.1219820,30.491,-0.003,-0.088,-0.012,1.986,8,8,1*7E
$GPFPD,1593,202804.00,317.490,-0.610,1.450,38.2234849,119.1219821,30.509,0.004,-0.089,-0.015,1.990,8,8,1*59
$GPFPD,1593,202805.00,317.520,-0.590,1.470,38.2234847,119.1219821,30.520,0.000,-0.095,-0.021,1.989,8,8,1*58
$GPFPD,1593,202806.00,317.530,-0.580,1.490,38.2234845,119.1219820,30.528,-0.019,-0.086,-0.020,1.986,8,8,1*77
$GPFPD,1593,202807.00,317.530,-0.570,1.500,38.2234843,119.1219818,30.538,-0.014,-0.087,-0.017,1.986,8,8,1*75
$GPFPD,1593,202808.00,317.540,-0.580,1.500,38.2234840,119.1219815,30.548,-0.018,-0.096,-0.024,1.987,8,8,1*76
$GPFPD,1593,202809.00,317.550,-0.590,1.490,38.2234837,119.1219813,30.545,-0.010,-0.108,-0.040,1.988,8,8,1*77
$GPFPD,1593,202810.00,317.580,-0.580,1.470,38.2234835,119.1219812,30.537,-0.004,-0.086,-0.039,1.982,8,8,1*7D
$GPFPD,1593,202811.00,317.600,-0.580,1.450,38.2234834,119.1219812,30.540,0.002,-0.073,-0.023,1.988,8,8,1*54
